GAH1_2022 GAH1_2023 IAH1_2022 IAH1_2023 IAH2_2022 IAH2_2023 ILH1_2022 ILH1_2023 INH1_2022 INH1_2023 MNH1_2022 MNH1_2023 MOH1_2023 MOH2_2022 MOH2_2023
-4.609847 -2.378412 1.510516 2.973663 0.3115427 0.4126449 1.781213 1.133246 2.328448 3.367975 2.455361 1.833671 -1.174242 -3.087095 -0.07264403
-4.371067 -2.182947 1.575881 2.985161 -0.08248346 0.6227366 1.610534 1.440865 2.394712 3.309763 2.339561 1.712653 -1.158818 -2.966665 -0.1990176
-4.307781 -2.380565 1.960512 3.266955 0.31789 0.7241404 1.852022 1.537722 2.328898 3.34177 2.432395 1.979459 -0.7898846 -2.492241 0.1764975
-4.404114 -1.857015 1.956073 3.113491 0.3679876 0.8088366 2.065931 1.650677 2.702585 3.617537 2.551119 1.753905 -0.9886245 -2.648977 0.2052416
-4.372436 -1.883984 2.009754 3.507819 0.5220401 0.8060894 2.121991 1.70927 2.827428 3.654051 2.726092 2.261593 -0.6016772 -2.556239 0.5084479
-4.438358 -2.007313 1.977364 3.342735 0.3577682 0.9307063 2.114293 1.640401 2.665658 3.596142 2.504069 1.930182 -0.6582055 -2.532793 0.04179965
-4.311799 -2.235705 1.770717 3.249345 0.2984127 0.8162694 2.184384 1.574785 2.647009 3.450555 2.64614 2.314036 -0.7795411 -2.715114 0.3096272
-4.000957 -1.881594 2.126892 3.355 0.6333274 1.068906 2.414632 1.688993 2.791547 3.767832 3.155129 2.318731 -0.6027527 -2.559571 0.5155075
-4.370453 -2.107993 2.106393 3.351306 0.4252079 1.0009 1.987151 1.751224 2.667367 3.424595 2.643992 1.968963 -0.6568748 -2.608909 0.1721038
-4.572088 -2.126881 1.970137 3.14125 0.4423538 0.8276605 2.277971 1.6318 2.656139 3.831746 2.658445 1.968595 -0.6942965 -2.808692 0.393807
-4.52373 -2.350729 1.937097 3.281684 0.0192482 0.8009899 2.059686 1.471271 2.391114 3.583237 2.28882 1.805925 -0.8642645 -3.048031 0.1297955
-4.030441 -2.074308 1.926334 3.230231 0.3372438 0.9254575 2.06499 1.826268 2.791036 3.524319 2.655682 2.18537 -0.742708 -2.478048 0.3890885
-3.883833 -1.650092 2.614371 3.6172 0.6264515 1.312926 2.499865 2.260302 3.205904 4.094866 2.885307 2.858695 -0.5277708 -2.327481 0.6180208
-4.013782 -1.77166 2.611879 3.70377 0.7438014 1.386939 2.621376 2.047818 3.421776 4.08169 3.033096 2.648658 -0.2620448 -2.370887 0.7363498
-3.739754 -1.538423 2.485134 3.547222 0.7087173 1.254873 2.403936 2.035576 3.170471 3.999452 2.998824 2.52496 -0.3580899 -2.299456 0.5132474
-3.744966 -1.768623 2.579172 3.820988 0.7199575 1.318444 2.754016 1.853217 2.770718 4.146884 2.917444 2.335107 -0.4996665 -2.282763 0.796676
-3.746432 -1.551095 2.542811 3.788446 0.8216954 1.313958 2.81775 2.090291 3.173164 4.033956 2.945298 2.719288 -0.2051324 -2.259584 0.9867852
-3.562721 -1.291915 2.627501 3.986239 1.019299 1.675377 2.666732 2.447437 3.384666 4.193364 3.148541 2.834499 0.09143924 -1.99595 0.9021342
-3.877683 -1.880857 2.475611 3.647207 0.7882986 1.352514 2.395626 1.984675 2.942742 3.953288 3.080273 2.510833 -0.515894 -2.307205 0.6921736
-3.917803 -1.600869 2.039583 3.433421 0.6527281 1.335628 2.353532 1.99857 2.837892 3.70561 2.831931 2.268933 -0.7338682 -2.464163 0.6293054
-3.916569 -1.941314 2.479178 3.776542 0.7775391 1.263005 2.536369 2.129584 2.911252 4.05187 2.845829 2.420707 -0.5911841 -2.412577 0.6652135
-3.932223 -1.726793 2.500969 3.599204 0.8977416 1.451039 2.722771 2.313612 3.120085 4.04209 3.391927 2.435043 -0.3972409 -2.329217 0.5943362
-3.648051 -1.563353 2.423632 3.829484 0.8252598 1.398371 2.482653 2.057386 2.948598 3.92524 3.075635 2.739426 -0.4776189 -2.145778 0.6768609
-3.820378 -1.604836 2.763262 4.026677 0.9357404 1.690906 2.702553 2.302007 3.417996 4.136787 3.130656 2.751696 -0.02490607 -2.000868 0.9807865
-3.799743 -1.613931 2.719006 3.658642 1.181455 1.217778 2.660848 2.339416 3.284364 4.23304 3.289196 2.779847 -0.2061639 -1.871885 0.9590972
-3.995933 -1.702065 2.315356 3.893172 0.6763738 1.282156 2.313258 2.11644 2.868515 3.799722 3.039546 2.22962 -0.4401499 -2.111823 0.7703037
-4.003165 -1.765476 2.26005 3.727904 0.8106386 1.15188 2.516097 1.877781 2.880712 3.899426 2.851595 2.171301 -0.6136515 -2.489827 0.7294371
-4.101503 -1.700383 2.506548 3.497215 0.7878327 1.014685 2.431519 2.229467 3.031623 4.055998 2.939003 2.324334 -0.3669253 -2.185937 0.5861648
-4.148158 -1.82207 2.424175 3.485183 0.6224125 0.9623653 2.403992 1.814822 2.777002 3.688937 2.697909 2.313193 -0.3941837 -2.263855 0.4247392
-3.964562 -1.698778 2.458372 3.489776 0.9674658 1.039012 2.635977 2.07051 3.10526 3.901632 2.968357 2.278412 -0.3675542 -2.054576 0.6353465
-4.211753 -2.089806 2.287426 3.275655 0.5396324 0.9665424 2.403424 1.883968 2.884402 3.766385 2.682352 2.118658 -0.7332567 -2.55984 0.4428003
-4.522828 -2.20173 1.835001 3.024892 0.1762179 0.4940814 1.922653 1.456416 2.476149 3.435075 2.402883 1.843935 -1.010725 -3.141064 0.3323361
-4.609074 -2.179777 2.053668 3.49982 0.1480439 0.8255672 1.790549 1.499708 2.428361 3.255853 2.488793 1.68943 -0.7359297 -2.813186 0.1497506
-4.125844 -1.848547 2.264137 3.483086 0.7609822 1.088756 2.415266 1.913923 2.853422 3.595281 2.767086 2.227451 -0.5707845 -2.398168 0.5458859
-4.246447 -2.073864 2.025568 3.335357 0.5619978 1.071107 2.231447 1.895063 2.737595 3.870935 2.572183 2.203158 -0.8442428 -2.703949 0.3390865
-4.401096 -1.978005 2.137804 3.182297 0.4665574 0.9341628 2.033909 1.702376 2.627928 3.589224 2.550941 1.931579 -0.8190128 -2.712352 0.342057
-4.55653 -1.947812 1.941762 3.033939 0.2311489 0.4545002 1.891629 1.419172 2.274623 3.49076 2.380209 1.942329 -0.949123 -2.823175 0.2155527
-4.462175 -2.008142 1.976997 3.202704 0.390573 0.7723883 1.952546 1.499762 2.448404 3.492524 2.457381 1.975253 -0.9213355 -2.800853 0.1932135
