probIn scale
0.5607417 0.02334187
0.6147639 0.02435348
0.6345451 0.02105557
0.6745073 0.01923588
0.6685816 0.01846456
0.6792775 0.01902353
0.668767 0.02015757
0.6799078 0.02104335
0.68539 0.02107289
0.6821096 0.02307797
0.6740907 0.02246044
0.711425 0.0241483
0.7244421 0.02259263
0.7031195 0.02199264
0.7250095 0.02214662
0.692947 0.02185416
0.65006 0.02139446
0.7133168 0.02216661
0.743688 0.02040965
0.7329334 0.01969094
0.7019058 0.01957012
0.6377828 0.01936338
0.6206398 0.01899024
0.6421589 0.01922837
0.6595801 0.01982889
0.6647096 0.02119023
0.6750421 0.02071938
0.6714451 0.02175351
0.6449293 0.02279045
0.5839 0.02080108
0.5860087 0.02241632
0.6419387 0.02290217
0.613299 0.02311307
0.5429074 0.02295021
0.5320382 0.02325314
0.5757971 0.02328714
0.5549877 0.02107101
0.565646 0.02114301
0.5741682 0.02082722
0.5161657 0.0194097
0.5225837 0.02077253
0.5419255 0.02286343
0.5723902 0.02292223
0.5661816 0.02218709
0.5193313 0.02284401
0.5065134 0.02160478
0.5439796 0.02247673
0.5180553 0.02044456
0.5163987 0.02222872
0.4504124 0.02414054
0.5672623 0.02350391
0.5700675 0.0227772
0.6641843 0.02142637
0.6266688 0.02060495
0.5512952 0.02005709
0.5062645 0.02096861
0.5076955 0.02072247
0.432987 0.02191473
0.4569153 0.02268566
0.5367229 0.02287293
0.504607 0.02172256
0.4641762 0.02070154
0.4835805 0.02212047
0.4410125 0.02211882
0.5037196 0.02535057
0.4673895 0.02556846
0.4840744 0.02552653
0.4851018 0.02609009
0.5228061 0.02805089
0.6050862 0.02748178
0.6342592 0.02785718
0.6281511 0.03037503
0.6694093 0.03018336
0.6314791 0.02849161
0.6078485 0.0279465
0.5900557 0.0276145
0.5218407 0.02427861
0.5338644 0.02491363
0.5017549 0.02680315
0.5492679 0.02541364
0.5116828 0.02679343
0.5154454 0.02765088
0.5355423 0.02756965
0.5346925 0.02795806
0.5937455 0.02788933
0.5011259 0.02864114
0.4943734 0.03047592
0.4495939 0.02800966
0.4008151 0.02813137
0.4590103 0.02963155
0.4261389 0.03166735
0.4156171 0.0328387
0.4758951 0.03040805
0.4633148 0.02806229
0.4137115 0.0291503
0.4418094 0.0282074
0.4804981 0.02752854
0.449411 0.02674764
0.3538934 0.02684507
0.4424994 0.02629235
0.4498225 0.02851071
0.4702079 0.02824125
0.4604851 0.02666309
0.438704 0.02643032
0.4420811 0.02598724
0.504594 0.02451218
0.5479188 0.02543942
0.5797838 0.02644
0.5539838 0.02773515
0.5969895 0.02866663
0.5136354 0.02810383
0.5025859 0.02952537
0.4851713 0.03298863
0.4825884 0.03219434
0.609818 0.02794871
0.6339946 0.02789014
0.6590964 0.02924704
0.6498888 0.02818284
0.7000905 0.03091673
0.6048626 0.03067705
0.6202419 0.03090254
0.5563472 0.03389193
0.5781689 0.03412178
0.6348739 0.03043196
0.6323583 0.03407606
0.6253397 0.03420571
0.6263997 0.03215364
0.6120155 0.03295612
0.5804037 0.03261265
0.6306513 0.03323255
0.5991015 0.03477075
0.609097 0.03498867
0.5740484 0.03417485
0.6104257 0.0348502
0.5184444 0.03627627
0.5844649 0.03722622
0.6239736 0.0414868
0.6509692 0.04280433
0.5748583 0.04565713
0.377514 0.04431757
0.3944299 0.04609689
0.3683379 0.04604681
0.3822229 0.04710295
0.4126909 0.04612951
0.4410223 0.05298676
0.4446782 0.05577036
0.4246078 0.06066016
0.3784968 0.06021227
0.4115109 0.06131529
0.4292324 0.0608289
0.4517562 0.06614108
0.4962142 0.0614167
0.4824271 0.06112779
0.4562639 0.06344304
0.4534139 0.0633106
0.4834953 0.06127443
0.4747126 0.05352736
0.4648685 0.04566778
0.5077767 0.05003856
0.5039325 0.04946767
0.4913767 0.04869604
0.410518 0.04946583
0.3559588 0.04974554
0.3644099 0.04997394
0.4620209 0.05258282
0.4167707 0.05272541
0.406775 0.0528426
0.4529563 0.05466263
0.4659661 0.05427136
0.5173653 0.05853972
0.4852507 0.0552414
0.509973 0.05844431
0.5224908 0.05898396
0.4024097 0.05511809
0.4326729 0.05722664
0.4346132 0.05850937
0.5103528 0.05557233
0.4572623 0.06146238
0.512198 0.05242198
0.4333715 0.05592643
0.3902115 0.06072521
0.3569337 0.05817072
0.305741 0.05953945
0.399405 0.0622264
0.3430399 0.0628281
0.33291 0.06253691
0.3590385 0.06122262
